departement.type,departement.value,code_insee.type,code_insee.value,communePopulation.datatype,communePopulation.type,communePopulation.value,code_commune.type,code_commune.value,departementLabel.xml:lang,departementLabel.type,departementLabel.value,communeLabel.xml:lang,communeLabel.type,communeLabel.value,regionLabel.xml:lang,regionLabel.type,regionLabel.value
uri,http://www.wikidata.org/entity/Q3368,literal,91,http://www.w3.org/2001/XMLSchema#decimal,literal,25629,literal,91150,fr,literal,Essonne,fr,literal,Étampes,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3368,literal,91,http://www.w3.org/2001/XMLSchema#decimal,literal,66851,literal,91000,fr,literal,Essonne,fr,literal,Évry-Courcouronnes,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12543,literal,92,http://www.w3.org/2001/XMLSchema#decimal,literal,45157,literal,92800,fr,literal,Hauts-de-Seine,fr,literal,Puteaux,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12784,literal,95,http://www.w3.org/2001/XMLSchema#decimal,literal,28939,literal,95120,fr,literal,Val-d'Oise,fr,literal,Ermont,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12784,literal,95,http://www.w3.org/2001/XMLSchema#decimal,literal,28423,literal,95400,fr,literal,Val-d'Oise,fr,literal,Villiers-le-Bel,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12761,literal,93,http://www.w3.org/2001/XMLSchema#decimal,literal,28782,literal,93390,fr,literal,Seine-Saint-Denis,fr,literal,Clichy-sous-Bois,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12642,literal,56,http://www.w3.org/2001/XMLSchema#decimal,literal,53719,literal,56000,fr,literal,Morbihan,fr,literal,Vannes,fr,literal,Bretagne
uri,http://www.wikidata.org/entity/Q12543,literal,92,http://www.w3.org/2001/XMLSchema#decimal,literal,63089,literal,92110,fr,literal,Hauts-de-Seine,fr,literal,Clichy,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3139,literal,06,http://www.w3.org/2001/XMLSchema#decimal,literal,27364,literal,06220,fr,literal,Alpes-Maritimes,fr,literal,Vallauris,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q3368,literal,91,http://www.w3.org/2001/XMLSchema#decimal,literal,29745,literal,91130,fr,literal,Essonne,fr,literal,Ris-Orangis,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12761,literal,93,http://www.w3.org/2001/XMLSchema#decimal,literal,54587,literal,93140,fr,literal,Seine-Saint-Denis,fr,literal,Bondy,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3139,literal,06,http://www.w3.org/2001/XMLSchema#decimal,literal,342669,literal,06100,fr,literal,Alpes-Maritimes,fr,literal,Nice,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q12543,literal,92,http://www.w3.org/2001/XMLSchema#decimal,literal,30950,literal,92240,fr,literal,Hauts-de-Seine,fr,literal,Malakoff,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12543,literal,92,http://www.w3.org/2001/XMLSchema#decimal,literal,34021,literal,92290,fr,literal,Hauts-de-Seine,fr,literal,Châtenay-Malabry,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3368,literal,91,http://www.w3.org/2001/XMLSchema#decimal,literal,27412,literal,91220,fr,literal,Essonne,fr,literal,Brétigny-sur-Orge,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12761,literal,93,http://www.w3.org/2001/XMLSchema#decimal,literal,45053,literal,93120,fr,literal,Seine-Saint-Denis,fr,literal,La Courneuve,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3139,literal,06,http://www.w3.org/2001/XMLSchema#decimal,literal,74545,literal,06400,fr,literal,Alpes-Maritimes,fr,literal,Cannes,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q3389,literal,29,http://www.w3.org/2001/XMLSchema#decimal,literal,63283,literal,29000,fr,literal,Finistère,fr,literal,Quimper,fr,literal,Bretagne
uri,http://www.wikidata.org/entity/Q3139,literal,06,http://www.w3.org/2001/XMLSchema#decimal,literal,73438,literal,06600,fr,literal,Alpes-Maritimes,fr,literal,Antibes,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q12761,literal,93,http://www.w3.org/2001/XMLSchema#decimal,literal,57498,literal,93150,fr,literal,Seine-Saint-Denis,fr,literal,Le Blanc-Mesnil,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12761,literal,93,http://www.w3.org/2001/XMLSchema#decimal,literal,30861,literal,93380,fr,literal,Seine-Saint-Denis,fr,literal,Pierrefitte-sur-Seine,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12784,literal,95,http://www.w3.org/2001/XMLSchema#decimal,literal,31314,literal,95220,fr,literal,Val-d'Oise,fr,literal,Herblay-sur-Seine,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3368,literal,91,http://www.w3.org/2001/XMLSchema#decimal,literal,36577,literal,91600,fr,literal,Essonne,fr,literal,Savigny-sur-Orge,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12543,literal,92,http://www.w3.org/2001/XMLSchema#decimal,literal,48530,literal,92230,fr,literal,Hauts-de-Seine,fr,literal,Gennevilliers,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12543,literal,92,http://www.w3.org/2001/XMLSchema#decimal,literal,45818,literal,92190,fr,literal,Hauts-de-Seine,fr,literal,Meudon,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12784,literal,95,http://www.w3.org/2001/XMLSchema#decimal,literal,32405,literal,95000,fr,literal,Val-d'Oise,fr,literal,Pontoise,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12753,literal,77,http://www.w3.org/2001/XMLSchema#decimal,literal,25654,literal,77420,fr,literal,Seine-et-Marne,fr,literal,Champs-sur-Marne,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12753,literal,77,http://www.w3.org/2001/XMLSchema#decimal,literal,37617,literal,77340,fr,literal,Seine-et-Marne,fr,literal,Pontault-Combault,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3336,literal,2A,http://www.w3.org/2001/XMLSchema#decimal,literal,71361,literal,20090,fr,literal,Corse-du-Sud,fr,literal,Ajaccio,fr,literal,Corse
uri,http://www.wikidata.org/entity/Q3336,literal,2A,http://www.w3.org/2001/XMLSchema#decimal,literal,71361,literal,20167,fr,literal,Corse-du-Sud,fr,literal,Ajaccio,fr,literal,Corse
uri,http://www.wikidata.org/entity/Q3139,literal,06,http://www.w3.org/2001/XMLSchema#decimal,literal,48870,literal,06130,fr,literal,Alpes-Maritimes,fr,literal,Grasse,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q3139,literal,06,http://www.w3.org/2001/XMLSchema#decimal,literal,73438,literal,06160,fr,literal,Alpes-Maritimes,fr,literal,Antibes,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q12784,literal,95,http://www.w3.org/2001/XMLSchema#decimal,literal,31671,literal,95870,fr,literal,Val-d'Oise,fr,literal,Bezons,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3139,literal,06,http://www.w3.org/2001/XMLSchema#decimal,literal,342669,literal,06000,fr,literal,Alpes-Maritimes,fr,literal,Nice,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q12761,literal,93,http://www.w3.org/2001/XMLSchema#decimal,literal,35907,literal,93330,fr,literal,Seine-Saint-Denis,fr,literal,Neuilly-sur-Marne,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12753,literal,77,http://www.w3.org/2001/XMLSchema#decimal,literal,26597,literal,77600,fr,literal,Seine-et-Marne,fr,literal,Bussy-Saint-Georges,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3377,literal,28,http://www.w3.org/2001/XMLSchema#decimal,literal,30646,literal,28100,fr,literal,Eure-et-Loir,fr,literal,Dreux,fr,literal,Centre-Val de Loire
uri,http://www.wikidata.org/entity/Q3368,literal,91,http://www.w3.org/2001/XMLSchema#decimal,literal,29318,literal,91330,fr,literal,Essonne,fr,literal,Yerres,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12543,literal,92,http://www.w3.org/2001/XMLSchema#decimal,literal,52925,literal,92140,fr,literal,Hauts-de-Seine,fr,literal,Clamart,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3336,literal,2A,http://www.w3.org/2001/XMLSchema#decimal,literal,71361,literal,20000,fr,literal,Corse-du-Sud,fr,literal,Ajaccio,fr,literal,Corse
